bucket	open	high	low	close	volume	count
2023-06-19T12:00:00+05:30	1214.4	1218.8	1213.8	1218.4	606674	60
2023-06-19T13:00:00+05:30	1218.2	1218.7	1213.7	1215.3	621380	60
2023-06-19T14:00:00+05:30	1215.3	1218.5	1211.9	1217.1	935942	60
2023-06-19T15:00:00+05:30	1216.85	1217.8	1214.6	1215.6	748656	30
2023-06-20T09:00:00+05:30	1214.15	1215.9	1208.2	1211.75	897546	45
2023-06-20T10:00:00+05:30	1211.75	1213.8	1209.6	1211.8	562226	60
2023-06-20T11:00:00+05:30	1211.8	1217.2	1210.6	1214.2	718190	60
2023-06-20T12:00:00+05:30	1214.2	1214.2	1210.3	1211.2	703302	60
2023-06-20T13:00:00+05:30	1211.0	1213.9	1210.65	1212.3	721434	60
2023-06-20T14:00:00+05:30	1212.45	1213.9	1212.0	1212.2	591180	60
2023-06-20T15:00:00+05:30	1212.2	1222.0	1212.2	1221.05	2426858	30
2023-06-21T09:00:00+05:30	1218.7	1224.8	1214.4	1223.8	1438736	45
2023-06-21T10:00:00+05:30	1223.85	1224.4	1220.1	1220.8	652950	60
2023-06-21T11:00:00+05:30	1220.7	1222.2	1218.7	1221.05	586422	60
